"ID","Indeks","city","Country","Population","Last update","Time zone","addresse","longitude","latitude","postal_town","administrative_area_level_2","administrative_area_level_1","political","locality"
67,67,"Malvik","Norway",6419,"05.08.2018","Europe/Oslo","Malvik",10.7350563,63.3901938,0,"Malvik Municipality","Trøndelag","none","none"
68,68,"Ørsta","Norway",6337,"4/27/17","Europe/Oslo","Ørsta",6.2921523,62.261088,0,"Ørsta Municipality","Møre og Romsdal","none","none"
69,69,"Holmestrand","Norway",6135,"05.08.2018","Europe/Oslo","Holmestrand",10.3150349,59.4899189,0,0,"Vestfold og Telemark","none","Holmestrand"
70,70,"Indre Arna","Norway",6117,"5/24/13","Europe/Oslo","Indre Arna",5.4771334,60.4113482,0,0,"Vestland","none","Indre Arna"
71,71,"Lillesand","Norway",6081,"12/18/12","Europe/Oslo","Lillesand",8.3757798,58.2494031,0,"Lillesand Municipality","Agder","none","none"
72,72,"Raufoss","Norway",6052,"8/19/14","Europe/Oslo","Raufoss",10.6171806,60.7263781,0,0,"Innlandet","none","Raufoss"
73,73,"Fauske","Norway",5953,"12.07.2010","Europe/Oslo","Fauske",15.3916321,67.2591843,0,0,"Nordland","none","Fauske"
74,74,"Kløfta","Norway",5942,"07.05.2013","Europe/Oslo","Kløfta",11.1432147,60.076581,0,0,"Viken","none","Kløfta"
75,75,"Tananger","Norway",5817,"5/24/13","Europe/Oslo","Tananger",5.5740963,58.9361824,0,0,"Rogaland","none","Tananger"
76,76,"Sandnessjøen","Norway",5778,"10/25/15","Europe/Oslo","Sandnessjøen",12.6314628,66.0215534,0,0,"Nordland","none","Sandnessjøen"
77,77,"Hommersåk","Norway",5692,"07.05.2013","Europe/Oslo","Hommersåk",5.8506145,58.9281926,0,0,"Rogaland","none","Hommersåk"
78,78,"Flekkefjord","Norway",5615,"12.02.2016","Europe/Oslo","Flekkefjord",6.6599809,58.2971823,0,0,"Agder","none","Flekkefjord"
79,79,"Stavern","Norway",5593,"05.08.2018","Europe/Oslo","Stavern",10.0355945,58.9982871,0,0,"Vestfold og Telemark","none","Stavern"
80,80,"Voss","Norway",5571,"12.02.2016","Europe/Oslo","Voss",6.549636,60.7010992,0,"Voss Municipality","Vestland","none","none"
81,81,"Tranby","Norway",5552,"5/24/13","Europe/Oslo","Tranby",10.2666829,59.8081688,0,0,"Viken","none","Tranby"
82,82,"Jørpeland","Norway",5537,"12.07.2010","Europe/Oslo","Jørpeland",6.0414875,59.0220847,0,0,"Rogaland","none","Jørpeland"
83,83,"Mysen","Norway",5516,"12.07.2010","Europe/Oslo","Mysen",11.3257465,59.5537841,0,0,"Viken","none","Mysen"
84,84,"Volda","Norway",5376,"12.02.2016","Europe/Oslo","Volda",6.0912091,62.0817592,0,"Volda Municipality","Møre og Romsdal","none","none"
85,85,"Odda","Norway",5359,"12.07.2010","Europe/Oslo","Odda",6.917668,59.9373124,0,0,"none","none","none"
86,86,"Vestby","Norway",5330,"12.02.2016","Europe/Oslo","Vestby",10.6851093,59.5670114,0,"Vestby Municipality","Viken","none","none"
87,87,"Kragerø","Norway",5158,"12.02.2016","Europe/Oslo","Kragerø",9.4148662,58.8694218,0,0,"Vestfold og Telemark","none","Kragerø"
88,88,"Vadsø","Norway",5139,"01.06.2014","Europe/Oslo","Vadsø",29.8116708,70.1583341,0,"Vadsø Municipality","Troms og Finnmark fylke","none","none"
89,89,"Ulsteinvik","Norway",5103,"12.07.2010","Europe/Oslo","Ulsteinvik",5.8488429,62.3433146,0,0,"Møre og Romsdal","none","Ulsteinvik"
90,90,"Åkrehamn","Norway",5018,"3/15/13","Europe/Oslo","Åkrehamn",5.1869637,59.2604421,0,0,"Rogaland","none","Åkrehamn"
91,91,"Ulsteinvik weather pws station","Norway",5000,"2/25/13","Europe/Oslo","Ulsteinvik weather pws station",5.862103,62.347076,0,0,"none","none","none"
92,92,"Fevik","Norway",4989,"8/19/14","Europe/Oslo","Fevik",8.6760206,58.3782012,0,0,"Agder","none","Fevik"
93,93,"Nærbø","Norway",4975,"5/24/13","Europe/Oslo","Nærbø",5.6425343,58.6682902,0,0,"Rogaland","none","Nærbø"
94,94,"Rotnes","Norway",4705,"12.07.2010","Europe/Oslo","Rotnes",10.8702922,60.0532162,0,0,"Viken","none","Rotnes"
95,95,"Tjøme","Norway",4663,"1/14/19","Europe/Oslo","Tjøme",10.4025993,59.1105777,0,0,"none","none","none"
96,96,"Sortland","Norway",4620,"12.02.2016","Europe/Oslo","Sortland",15.4127224,68.7062789,0,"Sortland Municipality","Nordland","none","none"
97,97,"Melhus","Norway",4593,"01.04.2019","Europe/Oslo","Melhus",10.3296763,63.1580389,0,"Melhus Municipality","Trøndelag","none","none"
98,98,"Risør","Norway",4475,"12.02.2016","Europe/Oslo","Risør",9.3213796,58.6982576,0,"Risør Municipality","Agder","none","none"
99,99,"Brønnøysund","Norway",4366,"12.11.2017","Europe/Oslo","Brønnøysund",12.2077354,65.4735577,0,0,"Nordland","none","Brønnøysund"
100,100,"Jevnaker","Norway",4308,"01.11.2019","Europe/Oslo","Jevnaker",10.4484779,60.2406865,0,"Jevnaker Municipality","Viken","none","none"
101,101,"Sauda","Norway",4290,"2/13/17","Europe/Oslo","Sauda",6.3541435,59.6507178,0,0,"Rogaland","none","Sauda"
102,102,"Knarvik","Norway",4265,"07.05.2013","Europe/Oslo","Knarvik",5.2914456,60.5478133,0,0,"Vestland","none","Knarvik"
103,103,"Svolvær","Norway",4197,"12.07.2010","Europe/Oslo","Svolvær",14.5682237,68.2343088,0,0,"Nordland","none","Svolvær"
104,104,"Sunndalsøra","Norway",4159,"8/19/14","Europe/Oslo","Sunndalsøra",8.5661121,62.6735166,0,0,"Møre og Romsdal","none","Sunndalsøra"
105,105,"Moelv","Norway",4049,"1/19/12","Europe/Oslo","Moelv",10.6998338,60.9382268,0,0,"Innlandet","none","Moelv"
106,106,"Hommelvik","Norway",4000,"05.08.2018","Europe/Oslo","Hommelvik",10.7942418,63.4108294,0,0,"Trøndelag","none","Hommelvik"
107,107,"Svelvik","Norway",3926,"12.07.2010","Europe/Oslo","Svelvik",10.4088838,59.6138561,0,0,"Viken","none","Svelvik"
108,108,"Finnsnes","Norway",3907,"12.07.2010","Europe/Oslo","Finnsnes",17.9808554,69.232038,0,0,"Troms og Finnmark fylke","none","Finnsnes"
109,109,"Rakkestad","Norway",3779,"12.07.2010","Europe/Oslo","Rakkestad",11.3432131,59.4255261,0,"Rakkestad Municipality","Viken","none","none"
110,110,"Oppdal","Norway",3706,"01.04.2019","Europe/Oslo","Oppdal",9.6912337,62.5941815,0,0,"Trøndelag","none","Oppdal"
111,111,"Nordstranda","Norway",3700,"2/26/18","Europe/Oslo","Nordstranda",6.1278449,62.5101633,0,0,"Møre og Romsdal","none","Nordstrand"
112,112,"Lyngdal","Norway",3671,"12.07.2010","Europe/Oslo","Lyngdal",7.0704361,58.1378983,0,0,"Agder","none","Lyngdal"
113,113,"Hareid","Norway",3626,"8/19/14","Europe/Oslo","Hareid",6.0338734,62.3644476,0,"Hareid Municipality","Møre og Romsdal","none","none"
114,114,"Rjukan","Norway",3568,"12.07.2010","Europe/Oslo","Rjukan",8.6141339,59.8800821,0,0,"Vestfold og Telemark","none","Rjukan"
115,115,"Sørumsand","Norway",3563,"8/19/14","Europe/Oslo","Sørumsand",11.2398059,59.9850923,0,0,"Viken","none","Sørumsand"
116,116,"Røros","Norway",3496,"05.08.2018","Europe/Oslo","Røros",11.3842621,62.5749358,0,"Røros Municipality","Trøndelag","none","none"
117,117,"Skui","Norway",3487,"01.05.2019","Europe/Oslo","Skui",10.4481511,59.930962,0,0,"Viken","none","Skui"
118,118,"Farnes","Norway",3465,"07.05.2013","Europe/Oslo","Farnes",7.7968528,61.3096293,0,0,"Vestland","none","Farnes"
119,119,"Lysaker","Norway",3439,"2/28/12","Europe/Oslo","Lysaker",10.640499,59.9131287,0,"Bærum","none","Lysaker","none"
120,120,"Årnes","Norway",3289,"8/19/14","Europe/Oslo","Årnes",11.4663429,60.1210501,0,0,"Viken","none","Årnes"
121,121,"Sagvåg","Norway",3288,"5/24/13","Europe/Oslo","Sagvåg",5.3899627,59.7813875,0,0,"Vestland","none","Sagvåg"
122,122,"Kirkenes","Norway",3282,"7/21/14","Europe/Oslo","Kirkenes",30.0450432,69.7269192,0,0,"Troms og Finnmark fylke","none","Kirkenes"
123,123,"Skudeneshavn","Norway",3187,"11.06.2011","Europe/Oslo","Skudeneshavn",5.2571151,59.1500822,0,0,"Rogaland","none","Skudeneshavn"
124,124,"Flateby","Norway",3175,"5/24/13","Europe/Oslo","Flateby",11.1401136,59.8341598,0,0,"Viken","none","Flateby"
125,125,"Spydeberg","Norway",3166,"01.11.2019","Europe/Oslo","Spydeberg",11.0760821,59.6135026,0,0,"none","none","none"
126,126,"Farsund","Norway",3151,"12.07.2010","Europe/Oslo","Farsund",6.804546,58.0957142,0,"Farsund Municipality","Agder","none","none"
127,127,"Stokmarknes","Norway",3119,"12.07.2010","Europe/Oslo","Stokmarknes",14.9098716,68.5648383,0,0,"Nordland","none","Stokmarknes"
128,128,"Tofte","Norway",3109,"12.07.2010","Europe/Oslo","Tofte",10.5575286,59.5416615,0,0,"Viken","none","Tofte"
129,129,"Måløy","Norway",3062,"12.07.2010","Europe/Oslo","Måløy",5.1135542,61.9355433,0,0,"Vestland","none","Måløy"
130,130,"Sætre","Norway",3009,"5/24/13","Europe/Oslo","Sætre",10.5270244,59.6812444,0,0,"Viken","none","Sætre"
131,131,"Åsgårdstrand","Norway",2934,"1/19/12","Europe/Oslo","Åsgårdstrand",10.4679242,59.3489065,0,0,"Vestfold og Telemark","none","Åsgårdstrand"
132,132,"Vik","Norway",2899,"10/15/10","Europe/Oslo","Vik",6.564347,61.027509,0,"Vik","Vestland","none","none"
133,133,"Løding","Norway",2835,"07.05.2013","Europe/Oslo","Løding",14.7380527,67.2991685,0,0,"Nordland","none","Løding"
134,134,"Dokka","Norway",2796,"8/19/14","Europe/Oslo","Dokka",10.061805,60.8400064,0,0,"Innlandet","none","Dokka"
135,135,"Røyken","Norway",2775,"01.08.2019","Europe/Oslo","Røyken",10.389261,59.7463906,0,0,"none","none","none"
136,136,"Vormedal","Norway",2774,"5/24/13","Europe/Oslo","Vormedal",5.3165806,59.3576384,0,0,"Rogaland","none","Vormedal"
137,137,"Andenes","Norway",2766,"12.07.2010","Europe/Oslo","Andenes",16.1202285,69.3160799,0,0,"Nordland","none","Andenes"
138,138,"Vedavågen","Norway",2728,"8/19/14","Europe/Oslo","Vedavågen",5.2175092,59.2942259,0,0,"Rogaland","none","Veavågen"
139,139,"Ulefoss","Norway",2697,"8/19/14","Europe/Oslo","Ulefoss",9.2645949,59.283823,0,0,"Vestfold og Telemark","none","Ulefoss"
140,140,"Auli","Norway",2638,"10/14/10","Europe/Oslo","Auli",11.3556332,60.0335285,0,0,"Viken","none","Aulifeltet"
141,141,"Stokke","Norway",2618,"1/14/19","Europe/Oslo","Stokke",10.3187708,59.2242758,0,0,"none","none","none"
142,142,"Rørvik","Norway",2615,"05.08.2018","Europe/Oslo","Rørvik",11.2373374,64.8620756,0,0,"Trøndelag","none","Rørvik"
143,143,"Skålevik","Norway",2599,"07.08.2013","Europe/Oslo","Skålevik",8.0161466,58.0800655,0,0,"Agder","none","Skålevik"
144,144,"Rygge","Norway",2567,"8/19/14","Europe/Oslo","Rygge",10.7558354,59.3794435,0,0,"none","none","none"
145,145,"Nordfjordeid","Norway",2553,"8/19/14","Europe/Oslo","Nordfjordeid",5.9915548,61.9062629,0,0,"Vestland","none","Nordfjordeid"
146,146,"Tau","Norway",2548,"5/24/13","Europe/Oslo","Tau",5.9224759,59.0647761,0,0,"Rogaland","none","Tau"
147,147,"Honningsvåg","Norway",2541,"12.07.2010","Europe/Oslo","Honningsvåg",25.9702075,70.9822909,0,0,"Troms og Finnmark fylke","none","Honningsvåg"
148,148,"Gol","Norway",2530,"01.07.2019","Europe/Oslo","Gol",8.8877782,60.7999062,0,"Gol Municipality","Viken","none","none"
149,149,"Bø","Norway",2522,"12.07.2010","Europe/Oslo","Bø",9.0281323,59.4601654,0,0,"none","none","none"
150,150,"Stranda","Norway",2499,"8/19/14","Europe/Oslo","Stranda",6.9424091,62.3091141,0,0,"Møre og Romsdal","none","Stranda"
151,151,"Rognan","Norway",2499,"8/19/14","Europe/Oslo","Rognan",15.3877832,67.095278,0,0,"Nordland","none","Rognan"
152,152,"Frosta","Norway",2495,"01.04.2019","Europe/Oslo","Frosta",10.7395627,63.5809813,0,"Frosta Municipality","Trøndelag","none","none"
153,153,"Ytre Arna","Norway",2484,"3/17/13","Europe/Oslo","Ytre Arna",5.432769,60.4617977,0,0,"none","Ytre Arna","Bergen"
154,154,"Varhaug","Norway",2484,"8/19/14","Europe/Oslo","Varhaug",5.6457295,58.61471,0,0,"Rogaland","none","Varhaug"
155,155,"Kyrksæterøra","Norway",2471,"05.08.2018","Europe/Oslo","Kyrksæterøra",9.0890918,63.2905734,0,0,"Trøndelag","none","Kyrksæterøra"
156,156,"Løten","Norway",2458,"01.08.2019","Europe/Oslo","Løten",11.3507331,60.8714632,0,"Løten Municipality","Innlandet","none","none"
157,157,"Vinstra","Norway",2449,"8/19/14","Europe/Oslo","Vinstra",9.7566663,61.5923574,0,0,"Innlandet","none","Vinstra"
158,158,"Vikersund","Norway",2448,"5/26/16","Europe/Oslo","Vikersund",9.9950152,59.9659206,0,0,"Viken","none","Vikersund"
159,159,"Stange","Norway",2416,"12.07.2010","Europe/Oslo","Stange",11.1935157,60.7202288,0,"Stange Municipality","Innlandet","none","none"
160,160,"Ryggebyen","Norway",2416,"2/22/19","Europe/Oslo","Ryggebyen",10.755771,59.3794745,0,0,"Viken","none","Ryggebyen"
161,161,"Setermoen","Norway",2410,"12.07.2010","Europe/Oslo","Setermoen",18.3485696,68.8609902,0,0,"Troms og Finnmark fylke","none","Setermoen"
162,162,"Fossbergom","Norway",2406,"12.02.2016","Europe/Oslo","Fossbergom",8.5684166,61.837733,0,0,"none","Fossbergom","Lom"
163,163,"Maura","Norway",2400,"5/24/13","Europe/Oslo","Maura",11.0293549,60.2581963,0,0,"Viken","none","Maura"
164,164,"Bjørnevatn","Norway",2392,"8/19/14","Europe/Oslo","Bjørnevatn",29.9871566,69.6674613,0,0,"Troms og Finnmark fylke","none","Bjørnevatn"
165,165,"Skjervøy","Norway",2376,"1/13/19","Europe/Oslo","Skjervøy",20.9733634,70.0339228,0,"Skjervøy municipality","Troms og Finnmark fylke","none","none"
166,166,"Elnesvågen","Norway",2362,"8/30/14","Europe/Oslo","Elnesvågen",7.1376221,62.8542887,0,0,"Møre og Romsdal","none","Elnesvågen"
167,167,"Tynset","Norway",2356,"12.02.2016","Europe/Oslo","Tynset",10.7824199,62.2759356,0,"Tynset Municipality","Innlandet","none","none"
168,168,"Billingstad","Norway",2349,"5/24/13","Europe/Oslo","Billingstad",10.4795116,59.8765171,0,0,"Viken","none","Billingstad"
169,169,"Bjørkelangen","Norway",2346,"8/19/14","Europe/Oslo","Bjørkelangen",11.5694161,59.8847819,0,0,"Viken","none","Bjørkelangen"
170,170,"Lervik","Norway",2331,"7/13/13","Europe/Oslo","Lervik",10.7489409,59.2712815,0,0,"Viken","none","Lervik"
171,171,"Løpsmarka","Norway",2308,"7/13/13","Europe/Oslo","Løpsmarka",14.44786,67.313513,0,0,"Nordland","none","Løpsmarka"
172,172,"Ål","Norway",2278,"12.02.2016","Europe/Oslo","Ål",8.5610796,60.6303103,0,"Ål Municipality","Viken","none","none"
173,173,"Geilo","Norway",2276,"8/19/14","Europe/Oslo","Geilo",8.2087948,60.5336513,0,0,"Viken","none","Geilo"
174,174,"Høyanger","Norway",2266,"8/19/14","Europe/Oslo","Høyanger",6.0757441,61.2200648,0,0,"Vestland","none","Hoyanger"
175,175,"Birkeland","Norway",2254,"12.07.2010","Europe/Oslo","Birkeland",8.2322894,58.3309147,0,0,"Agder","none","Birkeland"
176,176,"Innbygda","Norway",2250,"12.07.2010","Europe/Oslo","Innbygda",12.2637373,61.314839,0,0,"Innlandet","none","Innbygda"
177,177,"Lyefjell","Norway",2200,"10/26/17","Europe/Oslo","Lyefjell",5.7377941,58.7327651,0,0,"Rogaland","none","Lyefjell"
178,178,"Aursmoen","Norway",2173,"07.08.2013","Europe/Oslo","Aursmoen",11.4427477,59.9276088,0,0,"Viken","none","Aursmoen"
179,179,"Skarnes","Norway",2172,"8/19/14","Europe/Oslo","Skarnes",11.679744,60.2528412,0,0,"Innlandet","none","Skarnes"
180,180,"Lakselv","Norway",2168,"7/13/13","Europe/Oslo","Lakselv",24.971782,70.0513264,0,0,"Troms og Finnmark fylke","none","Lakselv"
181,181,"Båtsfjord","Norway",2166,"12.02.2016","Europe/Oslo","Båtsfjord",29.7178451,70.6345012,0,0,"Troms og Finnmark fylke","none","Batsfjord"
182,182,"Melbu","Norway",2161,"5/24/13","Europe/Oslo","Melbu",14.8007091,68.5012102,0,0,"Nordland","none","Melbu"
183,183,"Sandane","Norway",2149,"01.11.2018","Europe/Oslo","Sandane",6.2161606,61.776446,0,0,"Vestland","none","Sandane"
184,184,"Hauge i Dalane","Norway",2148,"01.11.2019","Europe/Oslo","Hauge i Dalane",6.2773121,58.3423491,0,0,"Rogaland","none","Hauge"
186,186,"Brattvåg","Norway",2146,"8/19/14","Europe/Oslo","Brattvåg",6.4459551,62.5962346,0,0,"Møre og Romsdal","none","Brattvåg"
185,185,"Norheimsund","Norway",2146,"12.07.2010","Europe/Oslo","Norheimsund",6.1456351,60.3708869,0,0,"Vestland","none","Norheimsund"
187,187,"Liknes","Norway",2141,"8/19/14","Europe/Oslo","Liknes",6.958377,58.3191876,0,0,"Agder","none","Liknes"
188,188,"Evjen","Norway",2127,"12.05.2018","Europe/Oslo","Evjen",9.840545,63.287391,0,0,"Trøndelag","none","Evjen"
