"Niveau_1","Niveau_2","Niveau_3","Start_dato","Slut_dato","Resourcer","Fremskridt","Niveau"
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.3 Identicere værdiforeslag","2021.09.19","2021.09.23","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.3 Risici og uforudsete aspekter","2021.09.09","2021.09.13","",21,3
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.4 Afgøre data mål til koncept","2021.09.09","2021.09.13","",21,2
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.4.1 Omkostninger og værdi","2021.09.09","2021.09.13","",21,3
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.4.1.1 Oversæt foretningsspørgsmål til datamål","2021.09.09","2021.09.13","",21,4
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.4.1.2 Specificere data målstype","2021.09.09","2021.09.13","",21,4
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.4.1.3 Specificere data problem type (numerisk, heuristisk, analytisk)","2021.09.09","2021.09.13","",21,4
"2. Data forståelse","2. Data forståelse","2. Data forståelse","2021.09.13","2021.10.03","",83,1
"2. Data forståelse","2.1 Dataindhentning","2.1 Dataindhentning","2021.09.13","2021.09.17","",52,2
"2. Data forståelse","2.2. Beskriv data","2.2. Beskriv data","2021.09.17","2021.09.21","",19,2
"2. Data forståelse","2.2.1 Data kvalitet","2.2.1 Data kvalitet","2021.09.21","2021.09.25","",50,3
"2. Data forståelse","2.3 Udforsk data","2.3 Udforsk data","2021.09.25","2021.09.29","",63,2
"2. Data forståelse","2.4 Vurdere driftsløsning til metodik","2.4 Vurdere driftsløsning til metodik","2021.09.29","2021.10.03","",12,2
"3. Dataforberedelse","3. Dataforberedelse","3. Dataforberedelse","2021.10.04","2021.10.28","",58,1
"3. Dataforberedelse","3.1. Udvælg data","3.1. Udvælg data","2021.10.04","2021.10.08","",100,2
"3. Dataforberedelse","3.2 Rengør data","3.2 Rengør data","2021.10.08","2021.10.12","",70,2
"3. Dataforberedelse","3.3 Konstruere data","3.3 Konstruere data","2021.10.12","2021.10.16","",49,2
"3. Dataforberedelse","3.4 Integere data","3.4 Integere data","2021.10.16","2021.10.20","",76,2
"3. Dataforberedelse","3.5 Formatere data","3.5 Formatere data","2021.10.20","2021.10.24","",71,2
"3. Dataforberedelse","3.6 Sæt data mål for metode","3.6 Sæt data mål for metode","2021.10.24","2021.10.28","",89,2
"4. Modellering","4. Modellering","4. Modellering","2021.10.28","2021.11.13","",17,1
"4. Modellering","4.1 Vælg model teknik","4.1 Vælg model teknik","2021.10.28","2021.11.01","",93,2
"4. Modellering","4.2 Genere test design","4.2 Genere test design","2021.11.01","2021.11.05","",21,2
"4. Modellering","4.3 Byg model","4.3 Byg model","2021.11.05","2021.11.09","",94,2
"4. Modellering","4.4. Vurdere model","4.4. Vurdere model","2021.11.09","2021.11.13","",91,2
"5. Evaluering","5. Evaluering","5. Evaluering","2021.11.13","2021.11.18","",80,1
"5. Evaluering","5.1 Evaluer resultater","5.1 Evaluer resultater","2021.11.13","2021.11.17","",32,2
"5. Evaluering","5.2 Vurdere forløb","5.2 Vurdere forløb","2021.11.17","2021.11.21","",88,2
"5. Evaluering","5.3 Afgør videre trin","5.3 Afgør videre trin","2021.11.21","2021.11.25","",77,2
"5. Evaluering","6. Implementering","6. Implementering","2021.11.25","2021.11.30","",7,1
"5. Evaluering","6.1 Planlæg implementering","6.1 Planlæg implementering","2021.11.25","2021.11.29","",92,2
"5. Evaluering","6.2 Planlæg monitorering og vedlighold","6.2 Planlæg monitorering og vedlighold","2021.11.29","2021.12.03","",13,2
"5. Evaluering","6.3 Producere rapport","6.3 Producere rapport","2021.12.03","2021.12.07","",7,2
"5. Evaluering","6.4 Vurdere rapport","6.4 Vurdere rapport","2021.12.07","2021.12.11","",68,2
