,navn,addresse,Org_nr,Sektor,godkjenning
20,Aalstad Amund,"Olsrudvegen 33 , 2322 RIDABU",Org. nr. 992 932 074,"Foredling, import og omsetning",Gyldig fra 02.11.2020 til 30.12.2021
21,Aamo Jan Arvid,"Vangrøftdalsveien 129 , 2550 OS I ØSTERDALEN",Org. nr. 993 019 410,Økologisk landbruksproduksjon,Gyldig fra 21.10.2020 til 30.12.2021
22,Aaram Gard v/Vendel Aaram,"Fitjadalsvegen 10 , 5610 ØYSTESE",Org. nr. 983 239 935,Økologisk landbruksproduksjon,Gyldig fra 25.06.2020 til 30.12.2021
23,Aarekol Arnfinn Svartveit,"Gamlevegen 294 , 5777 GRIMO",Org. nr. 812 629 832,Økologisk landbruksproduksjon,Gyldig fra 21.10.2020 til 30.12.2021
24,Aarlien Stig,"Evenrudvegen 5 , 2350 NES PÅ HEDMARK",Org. nr. 996 374 742,Økologisk landbruksproduksjon,Gyldig fra 02.06.2020 til 30.12.2021
25,Aarseth Alisander,"Fjordavegen 2375 , 6817 NAUSTDAL",Org. nr. 992 872 918,Økologisk landbruksproduksjon,Gyldig fra 01.11.2020 til 30.12.2021
26,Aarstad John Frithjof,"Orderudveien 22 , 1860 TRØGSTAD",Org. nr. 869 731 102,Økologisk landbruksproduksjon,Gyldig fra 03.11.2020 til 30.12.2021
27,Aas Ola N.,"Åsengan 75 , 2540 TOLGA",Org. nr. 969 902 966,Økologisk landbruksproduksjon,Gyldig fra 09.02.2020 til 30.12.2021
28,Aas Per-Anton,"Rossgutua 130 , 2848 SKREIA",Org. nr. 869 750 522,"Foredling, import og omsetning",Gyldig fra 10.06.2020 til 30.12.2021
29,Aas Rune,"Byflatvegen 60 A , 2385 BRUMUNDDAL",Org. nr. 919 907 290,Økologisk landbruksproduksjon,Gyldig fra 15.09.2020 til 30.12.2021
30,Aas Steinar,"Kjettorpveien 72 , 3180 NYKIRKE",Org. nr. 969 118 998,Økologisk landbruksproduksjon,Gyldig fra 16.09.2020 til 30.12.2021
32,Aasberg Frøy Emil,"Dagalivegen 122 , 3588 DAGALI",Org. nr. 996 322 785,"Foredling, import og omsetning",Gyldig fra 25.10.2020 til 30.12.2021
33,Aase Hans Jørgen,"Gavlesjåvegen 82 , 3677 NOTODDEN",Org. nr. 971 324 325,Økologisk landbruksproduksjon,Gyldig fra 25.10.2020 til 30.12.2021
34,Aasen Asbjørn,"Åsavegen 156 B , 6871 JOSTEDAL",Org. nr. 970 322 035,Økologisk landbruksproduksjon,Gyldig fra 14.05.2020 til 30.12.2021
35,Aasen Jan Arne,"Bårdsetvegen 310 , 2385 BRUMUNDDAL",Org. nr. 969 430 630,Økologisk landbruksproduksjon,Gyldig fra 14.09.2020 til 30.12.2021
36,Aaslund Unn Hege,"Gosenveien 13 , 7718 STEINKJER",Org. nr. 915 743 951,Økologisk landbruksproduksjon,Gyldig fra 30.06.2020 til 30.12.2021
37,Aasnæs Nils Erland,"Stokkeveien 42 , 3070 SANDE I VESTFOLD",Org. nr. 975 925 994,Økologisk landbruksproduksjon,Gyldig fra 07.12.2020 til 30.12.2021
38,Aasprang Peder Hanem,"Meisingsetvågen 812 , 6628 MEISINGSET",Org. nr. 979 652 305,Økologisk landbruksproduksjon,Gyldig fra 01.09.2020 til 30.12.2021
39,Aastad Impulssenter AS Kjell Sigurd Bringsjord,"Skustadgt. 20 , 1396 BILLINGSTAD",Org. nr. 985 847 339,Økologisk landbruksproduksjon,Gyldig fra 16.09.2020 til 30.12.2021
40,Åbø Gård Hege K. Håkonsen,"Vreimsida 426 , 3803 BØ I TELEMARK",Org. nr. 993 965 995,Økologisk landbruksproduksjon,Gyldig fra 22.04.2020 til 30.12.2021
41,Abrahamsen Audun,"Stauslandstunet 20 , 4640 SØGNE",Org. nr. 980 775 453,"Foredling, import og omsetning",Gyldig fra 18.11.2020 til 30.12.2021
42,Abrahamsen Kåre Arnold,"Hålandveien 17 , 3158 ANDEBU",Org. nr. 969 922 754,Økologisk landbruksproduksjon,Gyldig fra 26.11.2020 til 30.12.2021
43,Abrahamsen Svein,"Stave Gård, Nordbygdveien 92 , 4560 VANSE",Org. nr. 989 501 704,Økologisk landbruksproduksjon,Gyldig fra 02.12.2020 til 30.12.2021
44,Achilles Hjemmebakeri,"Løkenvegen 79 , 2344 ILSENG",Org. nr. 987 012 013,"Foredling, import og omsetning",Gyldig fra 19.04.2020 til 30.12.2021
45,Aeschlimann Martin,"Tørsdalsvegen 573, Søre Skogen , 5574 SKJOLD",Org. nr. 985 072 930,Økologisk landbruksproduksjon,Gyldig fra 03.08.2020 til 30.12.2021
46,Agder Grossisten AS,"Skyttetheia 5 , 4790 LILLESAND",Org. nr. 980 634 728,"Foredling, import og omsetning",Gyldig fra 16.09.2020 til 30.12.2021
48,Agder Villsau DA Leif Christian Torsøe,"Heisel 29, Sagjordet , 4700 VENNESLA",Org. nr. 887 612 382,Økologisk landbruksproduksjon,Gyldig fra 11.05.2020 til 30.12.2021
49,Agnirom AS,"Gamle Bomansvikvei 15 , 1459 NESODDEN",Org. nr. 920 828 248,"Foredling, import og omsetning",Gyldig fra 11.05.2020 til 30.12.2021
50,Agrossist/as,"Brunlaugbakken 16 , 2625 FÅBERG",Org. nr. 924 437 952,"Foredling, import og omsetning",Gyldig fra 04.07.2020 til 30.12.2021
52,AgroTech Production AS,"Øravn 17 , 1630 GAMLE FREDRIKSTAD",Org. nr. 996 735 664,"Foredling, import og omsetning",Gyldig fra 16.08.2020 til 30.12.2021
53,Åkre Gjermund O.,"Fjordavegen 2010 , 5776 NÅ",Org. nr. 986 821 074,Økologisk landbruksproduksjon,Gyldig fra 28.09.2020 til 30.12.2021
54,Akvafarm AS,"Bergsfjordveien 1122 , 9385 SKALAND",Org. nr. 957 175 708,Økologisk akvakultur,Gyldig fra 12.12.2020 til 30.12.2021
55,Akvafarm avd. Sørfjord,"Faksfjordvn. 735 , 9311 BRØSTADBOTN",Org. nr. 957 175 708,Økologisk akvakultur,Gyldig fra 17.08.2020 til 30.12.2021
56,Åland Tove og Knut,"Lauvdalen 186 , 8360 BØSTAD",Org. nr. 969 304 252,"Foredling, import og omsetning",Gyldig fra 07.07.2020 til 30.12.2021
58,Alfafood AS,"Kongleveien 37 , 3055 KROKSTADELVA",Org. nr. 966 965 355,"Foredling, import og omsetning",Gyldig fra 07.07.2020 til 30.12.2021
59,"Alfalfa Økologiske Tove Iren Skaar,","Bøygen 16 , 4019 STAVANGER",Org. nr. 987 756 152,Økologisk landbruksproduksjon,Gyldig fra 18.01.2021 til 30.12.2022
60,Algea AS,"Postboks 2143 , 6502 KRISTIANSUND N",Org. nr. 910 116 940,Økologisk akvakultur,Gyldig fra 26.10.2020 til 30.12.2021
61,Alimenta AS,"Postboks 23 , 2017 FROGNER",Org. nr. 984 952 910,"Foredling, import og omsetning",Gyldig fra 21.06.2020 til 30.12.2021
62,Almaas Sissel og Arne,"Almås 70 , 7977 HØYLANDET",Org. nr. 979 142 145,Økologisk landbruksproduksjon,Gyldig fra 01.11.2020 til 30.12.2021
63,Alna AS,"Treveien 5 , 1540 VESTBY",Org. nr. 984 979 193,"Foredling, import og omsetning",Gyldig fra 18.11.2020 til 30.12.2021
64,Altern Kjetil,"Øst-Modumvn. 592 , 3370 VIKERSUND",Org. nr. 976 184 025,Økologisk landbruksproduksjon,Gyldig fra 02.06.2020 til 30.12.2021
66,Alvens Godteri det Anarkistiske Fruktforedleri,"Krambugt. 19 , 4330 ÅLGÅRD",Org. nr. 998 777 224,"Foredling, import og omsetning",Gyldig fra 29.06.2020 til 30.12.2021
67,Alvsaker Lars Johan,"Fjordavegen 5151, Alsåker Indre , 5778 UTNE",Org. nr. 869 317 462,Økologisk landbruksproduksjon,Gyldig fra 29.06.2020 til 30.12.2021
68,Alvsvåg Hest og Omsorg,"Vassbotnvegen 50 , 5546 RØYKSUND",Org. nr. 987 898 321,Økologisk landbruksproduksjon,Gyldig fra 23.11.2020 til 30.12.2021
69,AM Nutrition,"Postboks 208 Sentrum , 4001 STAVANGER",Org. nr. 987 651 059,"Foredling, import og omsetning",Gyldig fra 29.04.2020 til 30.12.2021
70,Åmås Samdrift A/S,"Follestaddalen 1366 , 6156 ØRSTA",Org. nr. 989 484 923,Økologisk landbruksproduksjon,Gyldig fra 12.10.2020 til 30.12.2021
71,Amlien Hans O.,"Amlienvegen 54 , 2843 EINA",Org. nr. 969 742 780,Økologisk landbruksproduksjon,Gyldig fra 29.03.2020 til 30.12.2021
72,Amundsen Geir,"Haukenes 88 , 8450 STOKMARKNES",Org. nr. 969 155 621,Økologisk landbruksproduksjon,Gyldig fra 03.02.2020 til 30.12.2021
73,Anda Kolbjørn,"Austmarka 1 , 4073 RANDABERG",Org. nr. 969 372 118,Økologisk landbruksproduksjon,Gyldig fra 10.08.2020 til 30.12.2021
74,Andersen Hege Nedrebø,"Fidselvn 101 , 4404 FLEKKEFJORD",Org. nr. 920 520 561,Økologisk landbruksproduksjon,Gyldig fra 26.04.2020 til 30.12.2021
75,Andersen Kjell Einar,"Vestgårdveien 3 , 1735 VARTEIG",Org. nr. 981 876 865,Økologisk landbruksproduksjon,Gyldig fra 29.11.2020 til 30.12.2021
76,Andersen Kjetil R.,"Luksefjellvn. 432 , 3721 Skien",Org. nr. 917 337 195,Økologisk landbruksproduksjon,Gyldig fra 08.09.2020 til 30.12.2021
77,Andersen Øystein,"Grønvoldvegen 580 , 3830 ULEFOSS",Org. nr. 970 570 233,"Foredling, import og omsetning",Gyldig fra 11.11.2020 til 30.12.2021
78,Andersen Stig Rune,"Nordgrenda 174 , 7350 BUVIKA",Org. nr. 971 653 884,Økologisk landbruksproduksjon,Gyldig fra 22.11.2020 til 30.12.2021
79,Andeshandel AS,"Marie Føreidsvei 12 , 4640 SØGNE",Org. nr. 921 220 553,"Foredling, import og omsetning",Gyldig fra 12.10.2020 til 30.12.2021
80,Andreassen Asgeir,"Bø , 8484 RISØYHAMN",Org. nr. 976 533 119,Økologisk landbruksproduksjon,Gyldig fra 15.10.2020 til 30.12.2021
82,Alvens Godteri det Anarkistiske Fruktforedleri,"Krambugt. 19 , 4330 ÅLGÅRD",Org. nr. 998 777 224,"Foredling, import og omsetning",Gyldig fra 29.06.2020 til 30.12.2021
83,Alvsaker Lars Johan,"Fjordavegen 5151, Alsåker Indre , 5778 UTNE",Org. nr. 869 317 462,Økologisk landbruksproduksjon,Gyldig fra 29.06.2020 til 30.12.2021
84,Alvsvåg Hest og Omsorg,"Vassbotnvegen 50 , 5546 RØYKSUND",Org. nr. 987 898 321,Økologisk landbruksproduksjon,Gyldig fra 23.11.2020 til 30.12.2021
85,AM Nutrition,"Postboks 208 Sentrum , 4001 STAVANGER",Org. nr. 987 651 059,"Foredling, import og omsetning",Gyldig fra 29.04.2020 til 30.12.2021
86,Åmås Samdrift A/S,"Follestaddalen 1366 , 6156 ØRSTA",Org. nr. 989 484 923,Økologisk landbruksproduksjon,Gyldig fra 12.10.2020 til 30.12.2021
87,Amlien Hans O.,"Amlienvegen 54 , 2843 EINA",Org. nr. 969 742 780,Økologisk landbruksproduksjon,Gyldig fra 29.03.2020 til 30.12.2021
88,Amundsen Geir,"Haukenes 88 , 8450 STOKMARKNES",Org. nr. 969 155 621,Økologisk landbruksproduksjon,Gyldig fra 03.02.2020 til 30.12.2021
89,Anda Kolbjørn,"Austmarka 1 , 4073 RANDABERG",Org. nr. 969 372 118,Økologisk landbruksproduksjon,Gyldig fra 10.08.2020 til 30.12.2021
90,Andersen Hege Nedrebø,"Fidselvn 101 , 4404 FLEKKEFJORD",Org. nr. 920 520 561,Økologisk landbruksproduksjon,Gyldig fra 26.04.2020 til 30.12.2021
91,Andersen Kjell Einar,"Vestgårdveien 3 , 1735 VARTEIG",Org. nr. 981 876 865,Økologisk landbruksproduksjon,Gyldig fra 29.11.2020 til 30.12.2021
92,Andersen Kjetil R.,"Luksefjellvn. 432 , 3721 Skien",Org. nr. 917 337 195,Økologisk landbruksproduksjon,Gyldig fra 08.09.2020 til 30.12.2021
93,Andersen Øystein,"Grønvoldvegen 580 , 3830 ULEFOSS",Org. nr. 970 570 233,"Foredling, import og omsetning",Gyldig fra 11.11.2020 til 30.12.2021
94,Andersen Stig Rune,"Nordgrenda 174 , 7350 BUVIKA",Org. nr. 971 653 884,Økologisk landbruksproduksjon,Gyldig fra 22.11.2020 til 30.12.2021
95,Andeshandel AS,"Marie Føreidsvei 12 , 4640 SØGNE",Org. nr. 921 220 553,"Foredling, import og omsetning",Gyldig fra 12.10.2020 til 30.12.2021
96,Andreassen Asgeir,"Bø , 8484 RISØYHAMN",Org. nr. 976 533 119,Økologisk landbruksproduksjon,Gyldig fra 15.10.2020 til 30.12.2021
98,Andreassen Bård,"Selnesveien 1007, Nordre Hestnes Gård , 9042 LAKSVATN",Org. nr. 991 411 771,Økologisk landbruksproduksjon,Gyldig fra 10.12.2020 til 30.12.2021
99,Andreassen Elin og Kurt,"Tranøyvn. 767, Brennvik gård , 8294 HAMARØY",Org. nr. 969 383 268,Økologisk landbruksproduksjon,Gyldig fra 10.12.2020 til 30.12.2021
100,Andresen Espen,"Kvernsjøvn 184 , 7125 VANVIKAN",Org. nr. 918 613 684,Økologisk landbruksproduksjon,Gyldig fra 09.09.2020 til 30.12.2021
101,Andresen Hans Jakob,"Tønnebergvn 65, Østenby , 1970 HEMNES",Org. nr. 982 695 864,Økologisk landbruksproduksjon,Gyldig fra 08.11.2020 til 30.12.2021
102,Anne Helen Høie,"Fosservn. 144 , 1892 DEGERNES",Org. nr. 915 235 425,Økologisk landbruksproduksjon,Gyldig fra 02.08.2020 til 30.12.2021
103,Anno Museum avd. Domkirkeodden,"Postboks 117 , 2401 ELVERUM",Org. nr. 962 388 663,Økologisk landbruksproduksjon,Gyldig fra 05.07.2020 til 30.12.2021
104,Antonsen Trude Viola,"Himbergveien 97 , 3175 RAMNES",Org. nr. 990 275 904,Økologisk landbruksproduksjon,Gyldig fra 21.09.2020 til 30.12.2021
105,Anvik Øvre - Grønn glede,"Anvikveien 41 , 3294 STAVERN",Org. nr. 921 566 409,Økologiske juletrær og pyntegrønt,Gyldig fra 09.08.2020 til 30.12.2021
106,Anzjøn Joar,"Fjellbygdvn 72 , 7750 NAMDALSEID",Org. nr. 969 437 295,Økologisk landbruksproduksjon,Gyldig fra 27.04.2020 til 30.12.2021
107,Apeland Kristian,"Berge 44 , 4330 ÅLGÅRD",Org. nr. 996 311 082,Økologisk landbruksproduksjon,Gyldig fra 20.10.2020 til 30.12.2021
108,Aponor AS,"Holmejordetvn.34 , 3267 LARVIK",Org. nr. 988 791 245,"Foredling, import og omsetning",Gyldig fra 26.04.2020 til 30.12.2021
109,AquaGen AS avd Steigen Land,"PB 1240, Torgard, , 7462 TRONDHEIM",Org. nr. 913 297 309,Økologisk akvakultur,Gyldig fra 02.02.2020 til 30.12.2021
110,AquaGen AS avd. Hemne Land,"Postboks 1240 Torgard , 7462 TRONDHEIM",Org. nr. 973 529 080,Økologisk akvakultur,Gyldig fra 26.04.2020 til 30.12.2021
111,Aquagen AS avd. Tingvoll Land,"Pb. 1240, Torgard , 7462 TRONDHEIM",Org. nr. 988 245 135,Økologisk akvakultur,Gyldig fra 10.06.2020 til 30.12.2021
112,Arakataka AS,"Mariboesgate 7 , 0173 OSLO",Org. nr. 981 674 723,Servering av økologisk mat og drikke,Gyldig fra 18.01.2021 til 30.12.2022
114,Arctic Filet AS,"Værnesveien 101 , 9381 TORSKEN",Org. nr. 995 287 250,Økologisk akvakultur,Gyldig fra 26.04.2020 til 30.12.2021
115,Arctic Linefish AS,"Otneimneset , 6750 STADLANDET",Org. nr. 982 266 149,Bærekraftig fiske og fangst,Gyldig fra 26.04.2020 til 30.12.2021
116,Arctic Seaweed AS,"Tjørsvågstrand 27 , 4400 FLEKKEFJORD",Org. nr. 917 378 819,Økologisk akvakultur,Gyldig fra 24.06.2020 til 30.12.2021
117,Arcus Norway AS,"Postboks 64 , 1483 HAGAN",Org. nr. 975 381 722,"Foredling, import og omsetning",Gyldig fra 02.12.2020 til 30.12.2021
118,"Are Samdrift A/S, v/ Bodil Frette","Skreveien 378 , 5541 KOLNES",Org. nr. 916 853 424,Økologisk landbruksproduksjon,Gyldig fra 01.11.2020 til 30.12.2021
119,Are Ytre-Eide,"Åfetvegen 132 , 6895 FEIOS",Org. nr. 969 822 873,Økologisk landbruksproduksjon,Gyldig fra 05.10.2020 til 30.12.2021
120,Arendal kommune (hovedkontor),"Postboks 123 , 4891 GRIMSTAD",Org. nr. 940 493 021,Servering av økologisk mat og drikke,Gyldig fra 01.11.2020 til 30.12.2021
121,Arendals Bryggeri AS,"Postboks 1474 Stoa , 4856 ARENDAL",Org. nr. 894 160 152,"Foredling, import og omsetning",Gyldig fra 09.02.2020 til 30.12.2021
122,Ariansen Tom Eugen,"Jåsundveien 901 , 4580 LYNGDAL",Org. nr. 990 586 179,"Foredling, import og omsetning",Gyldig fra 18.10.2020 til 30.12.2021
123,Årikstad-Nielsen Turid,"Vestre Spindsvei 711 , 4550 FARSUND",Org. nr. 914 977 371,Økologisk landbruksproduksjon,Gyldig fra 23.08.2020 til 30.12.2021
124,Arild Bøe Maskinentreprenør,"Einavegen 1324 , 2843 EINA",Org. nr. 983 190 618,Økologisk landbruksproduksjon,Gyldig fra 29.03.2020 til 30.12.2021
125,Arne B. Corneliussen AS,"Postboks 424 Økern , 0513 OSLO",Org. nr. 947 695 436,"Foredling, import og omsetning",Gyldig fra 04.01.2021 til 30.12.2022
126,Arne Handeland Ringhagen eple og hyll,"Amdalsvn 20 , 4208 SAUDASJØEN",Org. nr. 969 085 712,Økologisk landbruksproduksjon,Gyldig fra 01.11.2020 til 30.12.2021
127,Arne Sjule AS,"Moloveien 8 , 8622 MO I RANA",Org. nr. 913 450 566,"Foredling, import og omsetning",Gyldig fra 02.06.2020 til 30.12.2021
128,Arneng Gro,"Dalsvegen 639 , 2940 HEGGENES",Org. nr. 997 700 694,Økologisk landbruksproduksjon,Gyldig fra 11.05.2020 til 30.12.2021
130,Arnesen Cesilie Ek,"Ørmenvn. 8 , 1621 GRESSVIK",Org. nr. 985 220 204,Økologisk landbruksproduksjon,Gyldig fra 03.08.2020 til 30.12.2021
131,Arnesen Kaare Wilberg,"Melåsmovn 136 , 2415 HERADSBYGD",Org. nr. 921 224 257,Økologisk landbruksproduksjon,Gyldig fra 03.08.2020 til 30.12.2021
132,Arnestad Christen Henning,"Øvre Sørstranda 155 , 6823 SANDANE",Org. nr. 982 932 955,Økologisk landbruksproduksjon,Gyldig fra 21.10.2020 til 30.12.2021
133,Aromacea,"Kvanvikvn 500 , 4420 ÅNA-SIRA",Org. nr. 911 791 935,Økologisk landbruksproduksjon,Gyldig fra 25.02.2020 til 30.12.2021
134,Art of Living Norge AS,"Malerhaugveien 34 B , 0661 OSLO",Org. nr. 916 174 950,"Foredling, import og omsetning",Gyldig fra 05.11.2020 til 30.12.2021
135,Arteid Dagfinn Eriksen,"Arteidvegen 208 , 2040 KLØFTA",Org. nr. 977 063 493,Økologisk landbruksproduksjon,Gyldig fra 09.06.2020 til 30.12.2021
136,Arteid Samdrift DA Stein Rotnebo,"Asakvegen 146 , 1923 SØRUM",Org. nr. 882 502 902,Økologisk landbruksproduksjon,Gyldig fra 16.11.2020 til 30.12.2021
137,Arvid Nordquist AS,"Drammensveien 288 , 0283 OSLO",Org. nr. 985 147 439,"Foredling, import og omsetning",Gyldig fra 10.11.2020 til 30.12.2021
138,Arvid og Birgitte Udo De Haes,"Langdalen 68 , 3520 JEVNAKER",Org. nr. 984 654 413,Økologisk landbruksproduksjon,Gyldig fra 11.11.2020 til 30.12.2021
139,AS Aalesundfisk,"Postboks 2021 , 6028 ÅLESUND",Org. nr. 919 356 626,Bærekraftig fiske og fangst,Gyldig fra 14.07.2020 til 30.12.2021
140,AS Femangerlaks,"Sundvorvegen 1112 , 5647 BALDERSHEIM",Org. nr. 939 377 697,Økologisk akvakultur,Gyldig fra 15.06.2020 til 30.12.2021
141,AS Lisa,"Ringeriksvn 173 , 1339 VØYENENGA",Org. nr. 932 587 696,"Foredling, import og omsetning",Gyldig fra 03.11.2020 til 30.12.2021
142,AS Nestlé Norge,"Postboks 683 Skøyen , 0214 OSLO",Org. nr. 814 576 612,"Foredling, import og omsetning",Gyldig fra 10.03.2020 til 30.12.2021
143,AS Røra Fabrikker,"Stasjonsveien 21 , 7670 INDERØY",Org. nr. 916 915 144,"Foredling, import og omsetning",Gyldig fra 18.11.2020 til 30.12.2021
144,Aschjem Knut Halvor,"Holstadveien 103 , 1434 ÅS",Org. nr. 912 194 450,"Foredling, import og omsetning",Gyldig fra 16.03.2020 til 30.12.2021
146,Aschjem Wilhelm,"Askimvn. 27 , 1860 TRØGSTAD",Org. nr. 972 409 642,Økologisk landbruksproduksjon,Gyldig fra 18.10.2020 til 30.12.2021
147,ASK Brygghus AS,"Åsaveien 95 , 3531 KROKKLEIVA",Org. nr. 918 073 639,"Foredling, import og omsetning",Gyldig fra 18.10.2020 til 30.12.2021
148,Ask Gård Foredling AS,"Amundrudvn 63 , 3520 JEVNAKER",Org. nr. 999 287 433,"Foredling, import og omsetning",Gyldig fra 09.12.2020 til 30.12.2021
149,Ask Marita,"Gyldervn. 228 , 1592 VÅLER I ØSTFOLD",Org. nr. 913 858 204,"Foredling, import og omsetning",Gyldig fra 03.12.2020 til 30.12.2021
150,Askehagen Thomas,"Retterstadveien 245 , 2353 STAVSJØ",Org. nr. 912 996 883,Økologisk landbruksproduksjon,Gyldig fra 19.05.2020 til 30.12.2021
151,Askeland Arne,"Askeland 28 , 5286 HAUS",Org. nr. 970 596 844,Økologisk landbruksproduksjon,Gyldig fra 23.06.2020 til 30.12.2021
152,Askeland Ingemund Thorsheim,"Gamlevegen 321 , 5590 ETNE",Org. nr. 915 314 082,Økologisk landbruksproduksjon,Gyldig fra 04.05.2020 til 30.12.2021
153,Askilsrud Tore,"Smedsbølevn. 16 , 3520 JEVNAKER",Org. nr. 991 589 058,Økologisk landbruksproduksjon,Gyldig fra 16.11.2020 til 30.12.2021
154,Askim Frukt- og Bærpresseri AS,"Osloveien 93 , 1815 ASKIM",Org. nr. 944 195 033,"Foredling, import og omsetning",Gyldig fra 29.09.2020 til 30.12.2021
155,Askim Ola D.,"Råbygdveien 3 , 7105 STADSBYGD",Org. nr. 969 634 465,Økologisk landbruksproduksjon,Gyldig fra 05.07.2020 til 30.12.2021
156,Askjemshalten Margareth og Odd Marvin,"Solstad, Baustadbakken 33 , 7100 RISSA",Org. nr. 880 594 052,Økologisk landbruksproduksjon,Gyldig fra 30.08.2020 til 30.12.2021
157,Askjer Rolf Herman,"Sørbyvn. 884 , 3178 VÅLE",Org. nr. 986 805 516,Økologisk landbruksproduksjon,Gyldig fra 29.11.2020 til 30.12.2021
158,Askland Aslak,"Askland 156 , 4865 ÅMLI",Org. nr. 984 418 965,Økologisk landbruksproduksjon,Gyldig fra 05.08.2020 til 30.12.2021
159,Asko Agder AS,"Postboks 183 , 4792 LILLESAND",Org. nr. 913 117 883,"Foredling, import og omsetning",Gyldig fra 01.09.2020 til 30.12.2021
160,Asko Drammen AS,"Postboks 573 , 3412 LIERSTRANDA",Org. nr. 930 622 974,"Foredling, import og omsetning",Gyldig fra 25.05.2020 til 30.12.2021
162,Asko Hedmark AS,"Postboks 130 , 2381 BRUMUNDDAL",Org. nr. 918 710 507,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
163,Asko Midt Norge AS,"Østre Rosten 104 , 7483 TRONDHEIM",Org. nr. 979 334 109,"Foredling, import og omsetning",Gyldig fra 10.05.2020 til 30.12.2021
164,Asko Molde AS,"Årøsetervn. 20 , 6422 MOLDE",Org. nr. 813 612 992,"Foredling, import og omsetning",Gyldig fra 11.05.2020 til 30.12.2021
165,Asko Nord AS,"Postboks 1228 , 9268 TROMSØ",Org. nr. 979 655 215,"Foredling, import og omsetning",Gyldig fra 07.05.2020 til 30.12.2021
166,Asko Norge AS,"Postboks 130 Sentrum , 0102 OSLO",Org. nr. 982 081 998,"Foredling, import og omsetning",Gyldig fra 29.06.2020 til 30.12.2021
