"Ticker","SimFinId","Company Name","IndustryId","Industry"
"CAT",253953,"CATERPILLAR INC",100009,"Farm & Construction Machinery"
"AGCO",365265,"AGCO CORP /DE",100009,"Farm & Construction Machinery"
"DE",373449,"DEERE & CO",100009,"Farm & Construction Machinery"
"TWI",795301,"TITAN INTERNATIONAL INC",100009,"Farm & Construction Machinery"
"CMCO",899253,"COLUMBUS MCKINNON CORP",100009,"Farm & Construction Machinery"
"KKD",47513,"KRISPY KREME DOUGHNUTS INC",103003,"Restaurants"
"CMG",80874,"CHIPOTLE MEXICAN GRILL INC",103003,"Restaurants"
"SBUX",86689,"STARBUCKS CORP",103003,"Restaurants"
"YUM",98663,"YUM BRANDS INC",103003,"Restaurants"
"DRI",108420,"DARDEN RESTAURANTS INC",103003,"Restaurants"
"SHAK",148890,"Shake Shack Inc.",103003,"Restaurants"
"WEN",217619,"Wendy's Co",103003,"Restaurants"
"MCD",243628,"MCDONALDS CORP",103003,"Restaurants"
"RT",330525,"RUBY TUESDAY INC",103003,"Restaurants"
"DPZ",338660,"DOMINOS PIZZA INC",103003,"Restaurants"
"SONC",343236,"SONIC CORP",103003,"Restaurants"
"PZZA",352171,"PAPA JOHNS INTERNATIONAL INC",103003,"Restaurants"
"CIK0",361112,"Aramark",103003,"Restaurants"
"PNRA",412883,"PANERA BREAD CO",103003,"Restaurants"
"BJRI",537369,"BJs RESTAURANTS INC",103003,"Restaurants"
"JACK",682281,"JACK IN THE BOX INC /NEW/",103003,"Restaurants"
"QSR",716651,"Restaurant Brands International Inc.",103003,"Restaurants"
"NDLS",759987,"NOODLES & Co",103003,"Restaurants"
"CAKE",817638,"CHEESECAKE FACTORY INC",103003,"Restaurants"
"KONA",884107,"KONA GRILL INC",103003,"Restaurants"
"ARKR",952460,"ARK RESTAURANTS CORP",103003,"Restaurants"
"RRGB",980379,"RED ROBIN GOURMET BURGERS INC",103003,"Restaurants"
"DENN",986862,"DENNY'S Corp",103003,"Restaurants"
"WING",1057792,"Wingstop Inc.",103003,"Restaurants"
"BIG",49609,"BIG LOTS INC",102001,"Retail - Defensive"
"FRED",51800,"FREDS INC",102001,"Retail - Defensive"
"UNFI",52168,"UNITED NATURAL FOODS INC",102001,"Retail - Defensive"
"TGT",72458,"TARGET CORP",102001,"Retail - Defensive"
"DG",80798,"DOLLAR GENERAL CORP",102001,"Retail - Defensive"
"RAD",84515,"RITE AID CORP",102001,"Retail - Defensive"
"SWY",86808,"SAFEWAY INC",102001,"Retail - Defensive"
"PFGC",180458,"Performance Food Group Co",102001,"Retail - Defensive"
"CASY",188690,"CASEYS GENERAL STORES INC",102001,"Retail - Defensive"
"NCSO",210709,"99 CENTS ONLY STORES LLC",102001,"Retail - Defensive"
"COST",217867,"COSTCO WHOLESALE CORP /NEW",102001,"Retail - Defensive"
"WMT",239962,"Walmart Inc",102001,"Retail - Defensive"
"SYY",247719,"SYSCO CORP",102001,"Retail - Defensive"
"KR",258154,"KROGER CO",102001,"Retail - Defensive"
"VLGEA",333215,"VILLAGE SUPER MARKET INC",102001,"Retail - Defensive"
"USFD",365184,"US Foods Holding Corp.",102001,"Retail - Defensive"
"DLTR",378128,"Dollar Tree",102001,"Retail - Defensive"
"TUES",668563,"TUESDAY MORNING CORP/DE",102001,"Retail - Defensive"
"SVU",684097,"SUPERVALU INC",102001,"Retail - Defensive"
"PETS",820678,"PETMED EXPRESS INC",102001,"Retail - Defensive"
"WMK",912450,"WEIS MARKETS INC",102001,"Retail - Defensive"
"SCI",1056222,"SERVICE CORP INTERNATIONAL",102001,"Retail - Defensive"
"MUSA",1057793,"Murphy USA Inc.",102001,"Retail - Defensive"
"VVV",1059911,"VALVOLINE INC",102001,"Retail - Defensive"
