"Grønt","Jan","Feb","Mar","Apr","Mai","Jun","Jul","Aug","Sep","Okt","Nov","Des"
"potet",0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0.5,0.5
"gulrot",0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.5,0.5,0.5
"selleri",0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,0.5
"kålrabi",0.5,0.5,0.5,1,1,1,1,1,1,1,1,0.5
"purre",1,1,1,1,1,1,1,1,1,1,1,1
"Chard",0,0,0,0,1,1,1,1,1,1,0,0
"pastinakk",1,0,0,0,0,0,0,0,0,0,1,1
"smallradish",0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,0.5,0.5
"reddik",1,1,1,1,1,1,1,1,1,1,1,1
"rosenkål",1,0.5,0,0,0,0,0,0,0,1,1,1
"rødbet",1,1,1,0.5,1,1,1,1,1,1,1,1
"purkål",0,0,0,0,0,0.5,0.5,0.5,1,1,1,1
"asparges",0,0,0,1,1,1,0,0,0,0,0,0
"spisskål",0,0,0,0,1,1,1,1,1,1,1,0.5
"tomat",0,0,0,0,0,0,1,1,1,1,0,0
"hvit kål",1,1,1,1,1,1,1,1,1,1,1,1
"savoy",0.5,0.5,0.5,1,1,1,1,1,1,1,1,0.5
"squash",0,0,0,0,0,1,1,1,1,1,0,0
"søtpotet",0,0,0,0,0,0,0,0,0,0,0,0
"pakchoi",0,0,0,0,0,1,1,1,1,1,1,0
"artisjokk",0,0,0,0,0,0,0,1,1,1,0,0
"gresskar",0,0,0,0,0,0,0,1,1,1,1,1
"løk",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
