"Niveau_1","Niveau_2","Niveau_3","Eksempel","Start_dato","Slut_dato","Resourcer","Fremskridt","Niveau"
"1. Forretningsforståelse","1.4 Udarbejd projektplan","1.4.3 Anslå indsatsen og ressourcerne","","2021.10.27","2021.10.28","",21,3
"1. Forretningsforståelse","1.4 Udarbejd projektplan","1.4.4 Identificer kritiske trin","","2021.10.28","2021.10.29","",21,3
"1. Forretningsforståelse","1.4 Udarbejd projektplan","1.4.5 Marker beslutningspunkter","","2021.10.29","2021.10.30","",21,3
"1. Forretningsforståelse","1.4 Udarbejd projektplan","1.4.6 Identificer større milestene","","2021.10.30","2021.10.31","",21,3
"2. Data forståelse","2. Data forståelse","2. Data forståelse","","2021.10.31","2021.12.03","",83,1
"2. Data forståelse","2.1 Dataindhentning","2.1 Dataindhentning","","2021.11.01","2021.11.06","",52,2
"2. Data forståelse","2.1 Dataindhentning","2.1.1 Angiv udvælgelseskriterier","","2021.11.02","2021.11.03","",87,3
"2. Data forståelse","2.1 Dataindhentning","2.1.2 Vælg tabeller / filer af interesse","","2021.11.03","2021.11.04","",87,3
"2. Data forståelse","2.1 Dataindhentning","2.1.3 Vælg data i en tabel / fil","","2021.11.04","2021.11.05","",87,3
"2. Data forståelse","2.1 Dataindhentning","2.1.4 Overveje tidshoristont","","2021.11.05","2021.11.06","",87,3
"2. Data forståelse","2.2. Beskriv data","2.2. Beskriv data","","2021.11.06","2021.11.14","",19,2
"2. Data forståelse","2.2. Beskriv data","2.2.1 Identificer data og metode til registrering","","2021.11.07","2021.11.08","",87,3
"2. Data forståelse","2.2. Beskriv data","2.2.2 Få adgang til datakilder","","2021.11.08","2021.11.09","",87,3
"2. Data forståelse","2.2. Beskriv data","2.2.3 Brug eventuelt statistiske analyser","","2021.11.09","2021.11.10","",87,3
"2. Data forståelse","2.2. Beskriv data","2.2.4 Rapporter tabeller og deres forhold","","2021.11.10","2021.11.11","",87,3
"2. Data forståelse","2.2. Beskriv data","2.2.5 Kontroller datavolumen","","2021.11.11","2021.11.12","",87,3
"2. Data forståelse","2.2. Beskriv data","2.2.6 Bemærk fritastningsværdier","","2021.11.12","2021.11.13","",87,3
"2. Data forståelse","2.2. Beskriv data","2.2.7 Data kvalitet","","2021.11.13","2021.11.14","",50,3
"2. Data forståelse","2.3 Udforsk data","2.3 Udforsk data","","2021.11.14","2021.11.23","",63,2
"2. Data forståelse","2.3 Udforsk data","2.3.1 Analyser egenskaber ved interessante attributter","","2021.11.15","2021.11.16","",63,3
"2. Data forståelse","2.3 Udforsk data","2.3.2 Identificer egenskaber i delmængder","","2021.11.16","2021.11.17","",63,3
"2. Data forståelse","2.3 Udforsk data","2.3.3 Form formodninger til fremtidig analyse","","2021.11.17","2021.11.18","",63,3
"2. Data forståelse","2.3 Udforsk data","2.3.4 Evaluer oplysninger i databeskrivelsesrapporten","","2021.11.18","2021.11.19","",63,3
"2. Data forståelse","2.3 Udforsk data","2.3.5 Danne en hypotese og identificere handlinger","","2021.11.19","2021.11.20","",63,3
"2. Data forståelse","2.3 Udforsk data","2.3.6 Omform hypotesen til et data mining-mål","","2021.11.20","2021.11.21","",63,3
"2. Data forståelse","2.3 Udforsk data","2.3.7 Afklar dataudvindingsmål","","2021.11.21","2021.11.22","",63,3
"2. Data forståelse","2.3 Udforsk data","2.3.8 Udfør grundlæggende analyse for at bekræfte hypotesen","","2021.11.22","2021.11.23","",63,3
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4 Kontroller datakvaliteten","","2021.11.23","2021.12.03","",63,2
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4.1 Kontroller dækning (f.eks. er alle mulige værdier er repræsenteret)","","2021.11.24","2021.11.25","",63,3
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4.2 Kontroller nøgleord og kolonnenavne","","2021.11.25","2021.11.26","",63,3
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4.3 Kontroller, at betydningen af attributter og indeholdte værdier passer sammen","","2021.11.26","2021.11.27","",63,3
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4.4 Identificer manglende attributter og tomme felter","","2021.11.27","2021.11.28","",63,3
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4.5 Fastslå betydningen af manglende data","","2021.11.28","2021.11.29","",63,3
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4.6 Kontroller for attributter med forskellige værdier, der har lignende betydninger (fx lavt fedtindhold, diæt)","","2021.11.29","2021.11.30","",63,3
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4.7 Kontroller stavning og format for værdier (f.eks. Samme værdi, men begynder nogle gange med små bogstaverbrev)","","2021.11.30","2021.12.01","",63,3
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4.8 Kontroller for afvigelser, og beslut, om en afvigelse er “støj” eller kan indikere et interessant fænomen","","2021.12.01","2021.12.02","",63,3
"2. Data forståelse","2.4 Kontroller datakvaliteten","2.4.9 Kontroller, om værdier er plausible (f.eks. Alle felter, der har de samme eller næsten de samme værdier)","","2021.12.02","2021.12.03","",63,3
"3. Dataforberedelse","3. Dataforberedelse","3. Dataforberedelse","","2021.12.03","2021.12.10","",58,1
"3. Dataforberedelse","3.1. Udvælg data","3.1. Udvælg data","","2021.12.04","2021.12.05","",100,2
"3. Dataforberedelse","3.2 Rengør data","3.2 Rengør data","","2021.12.05","2021.12.06","",70,2
"3. Dataforberedelse","3.3 Konstruere data","3.3 Konstruere data","","2021.12.06","2021.12.07","",49,2
"3. Dataforberedelse","3.4 Integere data","3.4 Integere data","","2021.12.07","2021.12.08","",76,2
"3. Dataforberedelse","3.5 Formatere data","3.5 Formatere data","","2021.12.08","2021.12.09","",71,2
"3. Dataforberedelse","3.6 Sæt data mål for metode","3.6 Sæt data mål for metode","","2021.12.09","2021.12.10","",89,2
"4. Modellering","4. Modellering","4. Modellering","","2021.12.10","2021.12.15","",17,1
"4. Modellering","4.1 Vælg model teknik","4.1 Vælg model teknik","","2021.12.11","2021.12.12","",93,2
"4. Modellering","4.2 Genere test design","4.2 Genere test design","","2021.12.12","2021.12.13","",21,2
"4. Modellering","4.3 Byg model","4.3 Byg model","","2021.12.13","2021.12.14","",94,2
"4. Modellering","4.4. Vurdere model","4.4. Vurdere model","","2021.12.14","2021.12.15","",91,2
"5. Evaluering","5. Evaluering","5. Evaluering","","2021.12.15","2021.12.19","",80,1
"5. Evaluering","5.1 Evaluer resultater","5.1 Evaluer resultater","","2021.12.16","2021.12.17","",32,2
"5. Evaluering","5.2 Vurdere forløb","5.2 Vurdere forløb","","2021.12.17","2021.12.18","",88,2
"5. Evaluering","5.3 Afgør videre trin","5.3 Afgør videre trin","","2021.12.18","2021.12.19","",77,2
"6. Implementering","6. Implementering","6. Implementering","","2021.12.19","2021.12.24","",7,1
"6. Implementering","6.1 Planlæg implementering","6.1 Planlæg implementering","","2021.12.20","2021.12.21","",92,2
"6. Implementering","6.2 Planlæg monitorering og vedlighold","6.2 Planlæg monitorering og vedlighold","","2021.12.21","2021.12.22","",13,2
"6. Implementering","6.3 Producere rapport","6.3 Producere rapport","","2021.12.22","2021.12.23","",7,2
"6. Implementering","6.4 Vurdere rapport","6.4 Vurdere rapport","","2021.12.23","2021.12.24","",68,2
